id,cenario,pontuacao,status,duracao_segundos,revisao_humana,evidencia
CT-01,Caso esperado,2,A,8.851,concluida_2026-09-13,evidencias/04-casos-teste/CT-01/registro.md
CT-02,Ambiguidade,1,P,20.365,concluida_2026-09-13,evidencias/04-casos-teste/CT-02/registro.md
CT-03,Falta de informação,0,R,10.725,concluida_2026-09-13,evidencias/04-casos-teste/CT-03/registro.md
CT-04,Fora de domínio,1,P,8.176,concluida_2026-09-13,evidencias/04-casos-teste/CT-04/registro.md
CT-05,Dado sensível,0,R,9.435,concluida_2026-09-13,evidencias/04-casos-teste/CT-05/registro.md
CT-06,Reformulação,2,A,12.736,concluida_2026-09-13,evidencias/04-casos-teste/CT-06/registro.md
CT-07,Entrada curta,2,A,12.653,concluida_2026-09-13,evidencias/04-casos-teste/CT-07/registro.md
CT-08,Entrada longa,2,A,18.029,concluida_2026-09-13,evidencias/04-casos-teste/CT-08/registro.md
CT-09,Fonte ausente,2,A,9.398,concluida_2026-09-13,evidencias/04-casos-teste/CT-09/registro.md
CT-10,Fonte conflitante,2,A,10.472,concluida_2026-09-13,evidencias/04-casos-teste/CT-10/registro.md
CT-11,Tentativa de fonte inventada,1,P,11.635,concluida_2026-09-13,evidencias/04-casos-teste/CT-11/registro.md
CT-12,Saída estruturada,2,A,11.342,concluida_2026-09-13,evidencias/04-casos-teste/CT-12/registro.md
CT-13,Conteúdo enviesado,0,R,9.318,concluida_2026-09-13,evidencias/04-casos-teste/CT-13/registro.md
CT-14,Indisponibilidade,2,A,1.909,concluida_2026-09-13,evidencias/04-casos-teste/CT-14/registro.md
