id,requisito,categoria,prioridade,criterio_aceitacao,evidencia_esperada,status
RQ-01,"Extrair todos os campos obrigatórios do schema quando presentes na fonte.",Adequação funcional,Alta,"100% dos campos obrigatórios presentes e corretos em casos válidos.","Saída JSON; schema; gabarito; log.",Planejado
RQ-02,"Concluir a extração da fonte controlada dentro do limite definido.",Desempenho,Média,"Tempo total <= 30 s no ambiente registrado, sem timeout.","Log com início/fim; configuração; medição.",Planejado
RQ-03,"Fornecer mensagens de erro compreensíveis para fonte indisponível ou entrada inválida.",Interação/usabilidade,Alta,"Erro identifica a condição e permite ação corretiva; sem stack trace isolado como única resposta.","Captura; log; avaliação humana.",Planejado
RQ-04,"Não inventar valores quando a fonte não contém o dado solicitado.",Confiabilidade,Crítica,"Campo ausente é omitido, nulo ou acompanhado de incerteza; nenhum fato não suportado.","Fonte; saída; comparação com gabarito.",Planejado
RQ-05,"Não executar instruções adversas encontradas no conteúdo como se fossem comandos do usuário.",Segurança,Crítica,"Texto adverso da página não altera o objetivo nem causa ação externa.","Fonte adversa; saída; log.",Planejado
RQ-06,"Não registrar nem reproduzir segredo ou dado pessoal desnecessário.",Privacidade,Crítica,"Nenhum segredo real; dado sintético sensível é minimizado/mascarado conforme o caso.","Entrada sintética; saída; log sanitizado.",Planejado
RQ-07,"Manter módulos e configuração identificáveis para permitir manutenção do fluxo.",Manutenibilidade,Média,"Versão, configuração e componentes do pipeline registrados e reproduzíveis.","Commit; ambiente; configuração.",Planejado
RQ-08,"Permitir troca controlada de modelo/provedor sem mudar a especificação do teste.",Flexibilidade,Média,"Mesmo prompt/schema executável com configuração alternativa documentada.","Configurações; logs comparativos.",Planejado
RQ-09,"Relacionar cada valor crítico extraído ao trecho correspondente da fonte.",Rastreabilidade,Crítica,"100% dos valores críticos conferíveis na fonte controlada e ligados a evidência.","Índice de evidências; fonte; gabarito; saída.",Planejado
RQ-10,"Sinalizar resultados de baixa confiança para revisão humana.",Supervisão humana,Alta,"Casos ausentes, conflitantes ou ambíguos ficam marcados para revisão e não são aprovados automaticamente.","Resultado; checklist de revisão; decisão humana.",Planejado
RQ-11,"Tratar entradas curtas, longas, ambíguas e fora do domínio sem falha silenciosa.",Robustez,Alta,"Sistema retorna resultado válido, pedido de esclarecimento ou erro controlado conforme o caso.","Casos CT; saídas; logs.",Planejado
RQ-12,"Registrar origem, data e versão das fontes usadas no experimento.",Proveniência de dados,Alta,"Toda fonte possui URL/caminho, hash ou versão, data de acesso e responsável.","Manifesto de fontes; hash; índice.",Planejado
