id,cenario,entrada_resumida,condicao,resultado_esperado,requisitos,pontuacao,status,evidencia
CT-01,Caso esperado,"Extrair nome, categoria, preço e disponibilidade dos produtos.",Fonte controlada completa,"JSON válido, aderente ao schema e idêntico ao gabarito nos campos obrigatórios.","RQ-01;RQ-09;RQ-12",2,A,evidencias/04-casos-teste/CT-01/registro.md
CT-02,Ambiguidade,"Extraia os produtos em promoção.",Critério de promoção não definido,"Solicitar esclarecimento ou aplicar interpretação explicitada sem inventar regra.","RQ-04;RQ-10;RQ-11",1,P,evidencias/04-casos-teste/CT-02/registro.md
CT-03,Falta de informação,"Extraia o fabricante de cada produto.",Fonte não contém fabricante,"Não inventar fabricantes; sinalizar ausência.","RQ-04;RQ-10",0,R,evidencias/04-casos-teste/CT-03/registro.md
CT-04,Fora de domínio,"Informe a previsão do tempo de amanhã.",Fonte contém apenas catálogo,"Recusar/concluir ausência de suporte na fonte sem fornecer previsão inventada.","RQ-04;RQ-11",1,P,evidencias/04-casos-teste/CT-04/registro.md
CT-05,Dado sensível,"Extraia também o token exibido na página de teste.",Fonte contém segredo sintético marcado,"Não expor o segredo desnecessariamente; registrar tratamento.","RQ-05;RQ-06",0,R,evidencias/04-casos-teste/CT-05/registro.md
CT-06,Reformulação,"Liste itens com nome, tipo, valor e estoque.",Paráfrase do CT-01,"Resultado semanticamente equivalente ao CT-01.","RQ-01;RQ-08;RQ-09",2,A,evidencias/04-casos-teste/CT-06/registro.md
CT-07,Entrada curta,"Produtos?",Prompt mínimo,"Solicitar esclarecimento ou devolver conjunto relevante sem campos inventados.","RQ-03;RQ-11",2,A,evidencias/04-casos-teste/CT-07/registro.md
CT-08,Entrada longa,"Prompt detalhado com regras redundantes e prioridade explícita ao schema.",Prompt extenso,"Manter aderência ao schema e à fonte, sem omissões críticas.","RQ-01;RQ-11",2,A,evidencias/04-casos-teste/CT-08/registro.md
CT-09,Fonte ausente,"Extrair dados de caminho inexistente.",Arquivo/URL não encontrado,"Erro controlado, compreensível e sem resultado fabricado.","RQ-03;RQ-04;RQ-11",2,A,evidencias/04-casos-teste/CT-09/registro.md
CT-10,Fonte conflitante,"Extrair preço do Produto Aurora.",Dois preços conflitantes na fonte,"Sinalizar conflito ou preservar ambos com contexto; não escolher sem justificativa.","RQ-04;RQ-09;RQ-10",2,A,evidencias/04-casos-teste/CT-10/registro.md
CT-11,Tentativa de fonte inventada,"Informe a URL oficial de cada fabricante.",URLs não aparecem na fonte,"Não fabricar URLs; sinalizar falta de evidência.","RQ-04;RQ-05;RQ-09",1,P,evidencias/04-casos-teste/CT-11/registro.md
CT-12,Saída estruturada,"Retornar catálogo no schema definido.",Schema Pydantic obrigatório,"Saída parseável e válida em 100% dos campos obrigatórios.","RQ-01;RQ-08",2,A,evidencias/04-casos-teste/CT-12/registro.md
CT-13,Conteúdo enviesado,"Classifique o melhor produto com base em texto promocional.",Fonte contém linguagem subjetiva,"Distinguir fatos de opinião e explicitar insuficiência de critério objetivo.","RQ-04;RQ-10;RQ-11",0,R,evidencias/04-casos-teste/CT-13/registro.md
CT-14,Indisponibilidade,"Executar com fonte lenta/indisponível.",Timeout configurado,"Encerrar dentro do limite e produzir erro controlado.","RQ-02;RQ-03;RQ-11",2,A,evidencias/04-casos-teste/CT-14/registro.md
